p_participated,p_participated_2023,p_mandavolunt,p_year_start,p_year_end,p_year_start_clone2,p_year_end_clone2,p_ongoing,p_program_length,p_hourstrained,p_duration,p_comphours,p_otjactivities,p_cost,p_adequatefund,p_adequatefunddummy,p_fund_gov,p_fund_org,p_fund_wrk,p_fund_union,p_fund_other,p_advocacy,p_advocacy_hier,p_responsibility,p_responsibility_hier,p_application,p_selection,p_criteria_jobtitle,p_criteria_tenure,p_criteria_qualifications,p_criteria_assmskills,p_criteria_assmsmotivation,p_criteria_managerrec,p_criteria_other,p_targetemp_c,p_targetemp_bul,p_targetemp_mm,p_targetemp_emp,p_targetfunc_leg,p_targetfunc_hr,p_targetfunc_adm,p_targetfunc_it,p_targetfunc_op,p_targetfunc_mrksal,p_targetfunc_rd,p_targetfunc_accfin,p_targetfunc_cust,p_difloc,p_difstand,p_challenge_convincingemployees,p_challenge_selecting,p_challenge_progcompl,p_challenge_learning,p_challenge_convmanager,p_challenge_linkprogramcareer,p_challenge_effectiveness,p_challenge_scaling,p_challenge_determreturn,p_challenge_supportoutsideHR,p_challenge_funding,p_challenge_other,p_cont_investment,p_eligibility,p_part,p_part_exp,p_finassessment,p_effectiveness,p_effect_reverse,p_roi,p_participated_coarse,p_size_coarse1,p_size_coarse2,p_size_coarse3,p_target_top,p_target_middle,p_target_emp,p_target_topmiddle,p_target_middleemp,p_target_all,p_target_topbottom,p_long,p_hours_long,p_compfull,p_oja,p_adv_top,p_adv_hr,p_resp_top,p_resp_hr,p_adv_resp_match,p_cri_individual,p_cha_takeup,p_cha_during,p_cha_support,p_cha_scale,program_type,prog_clus2,prog_clus3,prog_clus4
Fewer than 50,Fewer than 50,Voluntary,2022,Ongoing,2022,2023,1,1,50 - 99 hours, > 12 months,Entirely compensated hours,Yes,"$1,001 - $5,000",Adequate funding,Adequately funded,0,100,0,0,0,C-Suite Leaders excluding HR,Top Management,HR Leaders,HR,Only people nominated by managers,Yes,1,0,1,1,0,1,0,Not Selected,Not Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,No,1.7137203,0,0,0,1,0,0,0,0,0,0,0,0,Likely,33,20,25,No,Very Effective,3,No attempt to calculate,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,Basic Programs,Basic,2
100 - 499,500 - 999,Mandatory,2020,2022,2020,2022,0,2,50 - 99 hours,2 - 6 months,Entirely compensated hours,Yes,"$1,001 - $5,000",Overfunded,Not adequately funded,15,25,20,20,20,Middle Managers and/or front-line supervisors,BU and Middle Management,Board of Directors,Top Management,1.6574343,1.2201166,.52149534,.50280374,.68971962,.64485979,.40934581,.29158878,0,Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,1.7137203,1,0,0,1,0,0,0,1,0,0,0,0,Likely,68,89,79,Yes,Very Effective,3,No attempt to calculate,2,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,.76261681,1,1,0,1,1,Advanced Programs,Advanced,4
500 - 999,1000 - 9999,Voluntary,2019,Ongoing,2019,2023,1,4,10 - 49 hours,2 - 6 months,Entirely compensated hours,Yes,"$1,001 - $5,000",Underfunded,Not adequately funded,0,100,0,0,0,HR Leaders,HR,HR Leaders,HR,Anyone could apply if belonging to specific function/department/hier level,Yes,1,1,0,0,0,1,0,Not Selected,Not Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Selected,Selected,No,1.7137203,0,1,0,0,1,0,0,0,0,0,0,0,Somewhat likely,22,10,60,Yes,Moderately Effective,2,Positive ROI,3,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,Basic Programs,Basic,2
Fewer than 50,50 - 99,Voluntary,2022,Ongoing,2022,2023,1,1,50 - 99 hours,2 - 6 months,Entirely compensated hours,Yes,"$5,001 - $10,000",Adequate funding,Adequately funded,0,100,0,0,0,Middle Managers and/or front-line supervisors,BU and Middle Management,Business Unit/Subsidiary/Function Leaders,BU and Middle Management,Anyone could apply if belonging to specific function/department/hier level,Yes,1,0,1,0,0,0,0,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,1.7137203,1,1,0,1,0,0,0,0,0,0,0,0,Somewhat likely,12,6,13,Yes,Very Effective,3,No attempt to calculate,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,Basic Programs,Basic,2
500 - 999,1000 - 9999,Voluntary,2019,Ongoing,2019,2023,1,4,50 - 99 hours,< 1 month,Entirely compensated hours,Yes,"$1,001 - $5,000",Adequate funding,Adequately funded,0,100,0,0,0,HR Leaders,HR,HR Leaders,HR,Anyone could apply if belonging to specific function/department/hier level,Yes,0,1,1,1,1,1,0,Not Selected,Selected,Selected,Selected,Not Selected,Not Selected,Selected,Selected,Selected,Not Selected,Not Selected,Selected,Not Selected,Yes,Mix of standard and custom,0,0,0,1,0,0,0,0,0,0,0,0,Likely,45,92,95,Yes,Moderately Effective,2,Positive ROI,3,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,Basic Programs,Basic,1
100 - 499,500 - 999,Mandatory,2022,2023,2022,2023,0,1,50 - 99 hours,7 - 12 months,Partly compensated hours,Yes,"$1,001 - $5,000",Adequate funding,Adequately funded,0,100,0,0,0,Business Unit/Subsidiary/Function Leaders,BU and Middle Management,Business Unit/Subsidiary/Function Leaders,BU and Middle Management,1.6574343,1.2201166,.52149534,.50280374,.68971962,.64485979,.40934581,.29158878,0,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,Very standard across geographies,0,0,0,0,0,0,0,0,0,0,0,1,Very likely,100,60,100,Yes,Very Effective,3,Negative ROI,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,.76261681,0,0,0,0,0,Basic Programs,Basic,1
1000 - 9999,10000 - 49999,Mandatory,2019,Ongoing,2019,2023,1,4,100 - 199 hours, > 12 months,Entirely compensated hours,Yes,"> $10,000",Adequate funding,Adequately funded,5,15,30,10,40,Employees (salaried and/or hourly wage),Employees and Others,Middle Managers and/or front-line supervisors,BU and Middle Management,1.6574343,1.2201166,.52149534,.50280374,.68971962,.64485979,.40934581,.29158878,0,Not Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Selected,Not Selected,Yes,Very standard across geographies,0,0,1,0,1,0,0,1,0,0,0,0,Uncertain,38,56,50,Yes,Very Effective,3,Negative ROI,3,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,.76261681,0,1,1,1,1,Advanced Programs,Intermediate,3
100 - 499,100 - 499,Voluntary,2022,Ongoing,2022,2023,1,1,200 - 499 hours,2 - 6 months,Entirely compensated hours,Yes,"$1,001 - $5,000",Adequate funding,Adequately funded,0,100,0,0,0,Business Unit/Subsidiary/Function Leaders,BU and Middle Management,HR Leaders,HR,Anyone could apply regardless of their function/department ,Yes,0,0,1,1,1,0,0,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,1.7137203,0,0,0,1,0,1,0,0,0,0,0,0,Likely,30,20,40,Yes,Very Effective,3,Positive ROI,2,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,Basic Programs,Basic,2
Fewer than 50,Fewer than 50,Voluntary,2021,Ongoing,2021,2023,1,2,10 - 49 hours, > 12 months,Entirely compensated hours,Yes,< $500,Adequate funding,Adequately funded,0,100,0,0,0,Middle Managers and/or front-line supervisors,BU and Middle Management,Middle Managers and/or front-line supervisors,BU and Middle Management,Only people nominated by managers,Yes,1,0,0,0,1,1,0,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Yes,Very standard across geographies,0,1,0,1,0,0,0,0,0,0,0,0,Likely,60,30,30,Yes,Very Effective,3,Positive ROI,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,Basic Programs,Basic,2
500 - 999,500 - 999,Voluntary,2020,2023,2020,2023,0,3,50 - 99 hours,7 - 12 months,Entirely compensated hours,Yes,"$501 - $1,000",Adequate funding,Adequately funded,10,20,20,25,25,C-Suite Leaders excluding HR,Top Management,"C-Suite Leaders, excluding HR",Top Management,Anyone could apply if belonging to specific function/department/hier level,Yes,1,0,1,0,1,0,0,Selected,Selected,Selected,Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,Very standard across geographies,1,0,1,0,0,1,0,1,0,0,0,0,Somewhat likely,59,72,62,Yes,Very Effective,3,"Not yet, but intends to",3,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,Advanced Programs,Advanced,3
Fewer than 50,Fewer than 50,Mandatory,2022,Ongoing,2022,2023,1,1,200 - 499 hours,2 - 6 months,Entirely compensated hours,Yes,< $500,Underfunded,Not adequately funded,0,100,0,0,0,Middle Managers and/or front-line supervisors,BU and Middle Management,Middle Managers and/or front-line supervisors,BU and Middle Management,1.6574343,1.2201166,.52149534,.50280374,.68971962,.64485979,.40934581,.29158878,0,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,1.7137203,0,1,0,1,0,0,0,0,0,0,0,0,Uncertain,20,10,20,No,Not Effective,1,"Tried to, but unable",1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,.76261681,1,1,0,0,1,Basic Programs,Basic,2
500 - 999,500 - 999,Mandatory,2021,Ongoing,2021,2023,1,2,200 - 499 hours, > 12 months,Entirely compensated hours,Yes,"$1,001 - $5,000",Overfunded,Not adequately funded,25,15,30,20,10,C-Suite Leaders excluding HR,Top Management,"C-Suite Leaders, excluding HR",Top Management,1.6574343,1.2201166,.52149534,.50280374,.68971962,.64485979,.40934581,.29158878,0,Not Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Yes,Mix of standard and custom,0,1,0,0,0,1,0,0,0,0,0,0,Likely,49,30,23,Yes,Moderately Effective,2,No attempt to calculate,3,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,.76261681,1,1,0,0,1,Advanced Programs,Intermediate,3
50 - 99,100 - 499,Voluntary,2022,2023,2022,2023,0,1,50 - 99 hours,2 - 6 months,Entirely compensated hours,Yes,"$501 - $1,000",Adequate funding,Adequately funded,0,100,0,0,0,HR Leaders,HR,HR Leaders,HR,Anyone could apply if belonging to specific function/department/hier level,Yes,1,1,1,1,0,0,0,Not Selected,Selected,Selected,Selected,Not Selected,Not Selected,Selected,Selected,Selected,Not Selected,Selected,Selected,Not Selected,No,1.7137203,0,0,0,1,0,0,0,0,0,0,0,0,Likely,50,40,30,Yes,Moderately Effective,2,Positive ROI,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,Basic Programs,Basic,2
500 - 999,1000 - 9999,Mandatory,2022,2023,2022,2023,0,1,50 - 99 hours, > 12 months,Partly compensated hours,Yes,< $500,Adequate funding,Adequately funded,0,80,5,15,0,C-Suite Leaders excluding HR,Top Management,HR Leaders,HR,1.6574343,1.2201166,.52149534,.50280374,.68971962,.64485979,.40934581,.29158878,0,Selected,Selected,Selected,Selected,Not Selected,Selected,Selected,Selected,Selected,Not Selected,Not Selected,Selected,Selected,Yes,Very standard across geographies,0,0,0,0,0,0,0,0,0,0,0,1,Very likely,88,70,97,Yes,Very Effective,3,Positive ROI,3,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,.76261681,0,0,0,0,1,Advanced Programs,Advanced,1
50 - 99,100 - 499,Voluntary,2019,Ongoing,2019,2023,1,4,10 - 49 hours,2 - 6 months,Entirely compensated hours,Yes,"$501 - $1,000",Adequate funding,Adequately funded,0,100,0,0,0,Middle Managers and/or front-line supervisors,BU and Middle Management,HR Leaders,HR,Anyone could apply if belonging to specific function/department/hier level,Yes,0,0,1,0,1,0,0,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,Mix of standard and custom,0,1,0,0,1,1,0,0,0,1,0,0,Somewhat likely,67,82,90,Yes,Moderately Effective,2,"Not yet, but intends to",1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,Basic Programs,Basic,1
Fewer than 50,100 - 499,Mandatory,2023,Ongoing,2023,2023,1,0,10 - 49 hours,< 1 month,Entirely compensated hours,Yes,"$5,001 - $10,000",Adequate funding,Adequately funded,25,75,0,0,0,HR Leaders,HR,"C-Suite Leaders, excluding HR",Top Management,1.6574343,1.2201166,.52149534,.50280374,.68971962,.64485979,.40934581,.29158878,0,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Not Selected,Yes,Very standard across geographies,0,1,0,0,0,0,1,0,0,1,0,0,Very likely,100,100,100,Yes,Very Effective,3,Positive ROI,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,.76261681,1,0,1,1,1,Advanced Programs,Advanced,1
Fewer than 50,Fewer than 50,Voluntary,2019,Ongoing,2019,2023,1,4,100 - 199 hours,2 - 6 months,Entirely compensated hours,Yes,"> $10,000",Adequate funding,Adequately funded,0,100,0,0,0,Business Unit/Subsidiary/Function Leaders,BU and Middle Management,Business Unit/Subsidiary/Function Leaders,BU and Middle Management,Only people nominated by managers,Yes,0,0,1,0,0,1,0,Not Selected,Not Selected,Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,Selected,Not Selected,Not Selected,Not Selected,Not Selected,No,1.7137203,1,0,0,0,1,0,1,0,0,0,0,0,Likely,27,22,35,No,Moderately Effective,2,Negative ROI,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,Basic Programs,Basic,2
