category,variable,variable_label,test,test_statistic,p_value,significance,mean_cluster0,std_cluster0,z_score_cluster0,mean_cluster1,std_cluster1,z_score_cluster1,mean_cluster2,std_cluster2,z_score_cluster2
other,p_ongoing,p_ongoing,ANOVA,94.11406707763672,1.638212492442053e-38,***,0.3300492465496063,0.47139301896095276,-0.3495405912399292,0.2509225010871887,0.43434610962867737,-0.5077313184738159,0.6651305556297302,0.4723076820373535,0.32035619020462036
funding,p_fund_org,Employer,ANOVA,89.30516815185547,1.0219106042026601e-36,***,39.88669967651367,30.50859260559082,-0.5428001284599304,46.789669036865234,32.72789001464844,-0.34095147252082825,69.0921630859375,31.788543701171875,0.31119227409362793
targeting,p_target_topbottom,p_target_topbottom,ANOVA,89.092529296875,1.2276987946485283e-36,***,0.18719211220741272,0.3910299837589264,-0.22602887451648712,0.036900367587804794,0.18886597454547882,-0.5571694374084473,0.4270353317260742,0.4950278401374817,0.30242204666137695
other,p_size_coarse2,p_participated_coarse==     2.0000,ANOVA,83.06495329948204,2.2836080712817202e-34,***,0.12807881773399016,0.335003699838563,-0.4559206488959373,0.6273062730627307,0.48441615709717945,0.5938834684484714,0.29493087557603687,0.4563623255019414,-0.10505457484433256
other,p_participated_100 - 499,p_participated_100 - 499,ANOVA,83.06495329948204,2.2836080712817202e-34,***,0.12807881773399016,0.335003699838563,-0.4559206488959373,0.6273062730627307,0.48441615709717945,0.5938834684484714,0.29493087557603687,0.4563623255019414,-0.10505457484433256
other,p_participated_1000 - 9999,p_participated_1000 - 9999,ANOVA,73.41944578981092,1.0838181030635908e-30,***,0.35467980295566504,0.4795989154893648,0.7218561322242117,0.05166051660516605,0.22175021623044844,-0.21020673505045973,0.07526881720430108,0.26402746930805177,-0.1375895078999084
other,p_participated_2023_1000 - 9999,p_participated_2023_1000 - 9999,ANOVA,68.41038175089238,9.252223295536381e-29,***,0.5123152709359606,0.5010840319176733,0.6850384337652817,0.11070110701107011,0.3143421513413069,-0.2751191176975547,0.18433179723502305,0.3880527012816632,-0.0990868220557831
other,p_part,p_part,ANOVA,65.11099243164062,1.7651020828932687e-27,***,68.1921157836914,18.116168975830078,0.5003520846366882,62.516605377197266,20.895654678344727,0.2679601311683655,49.43778991699219,25.313365936279297,-0.26757073402404785
targeting,p_targetfunc_op_Selected,p_targetfunc_op_Selected,ANOVA,63.82605961226953,5.588442516211498e-27,***,0.3793103448275862,0.4864149689526091,-0.22973692718680544,0.26199261992619927,0.4405321865116557,-0.46428373152480246,0.6267281105990783,0.48404534256072784,0.2649116550877771
targeting,p_targetfunc_op_Not Selected,p_targetfunc_op_Not Selected,ANOVA,63.82605961226953,5.588442516211498e-27,***,0.6206896551724138,0.4864149689526091,0.22973692718680544,0.7380073800738007,0.4405321865116557,0.46428373152480246,0.37327188940092165,0.48404534256072784,-0.2649116550877772
other,p_size_coarse1,p_participated_coarse==     1.0000,ANOVA,63.29490305594143,9.005200957041418e-27,***,0.07881773399014778,0.27012021760907945,-0.5320453829834694,0.22509225092250923,0.4184157629888089,-0.22083523396203183,0.4500768049155146,0.4978839780816321,0.2578364994613747
funding,p_fund_wrk,Employee,ANOVA,61.37204360961914,5.0824413008324514e-26,***,18.763545989990234,15.70845890045166,0.4261391758918762,17.16236114501953,14.655659675598145,0.320406436920166,8.278034210205078,13.840446472167969,-0.2662617862224579
other,p_cha_takeup,p_cha_takeup,ANOVA,50.28402328491211,1.2184757154076273e-21,***,0.41871920228004456,0.4945688545703888,-0.2350674420595169,0.3357933461666107,0.4731408357620239,-0.4012767970561981,0.6559139490127563,0.4754346013069153,0.2403450459241867
program_structure,p_hours_long,p_hours_long,ANOVA,48.80154800415039,4.757776477930224e-21,***,0.7487684488296509,0.434793621301651,0.5819374918937683,0.33210331201553345,0.47183918952941895,-0.25388312339782715,0.4208909273147583,0.4940817058086395,-0.07577723264694214
other,p_long,p_long,ANOVA,46.23208999633789,5.0835887040480836e-20,***,0.5960590839385986,0.49189895391464233,0.5752982497215271,0.22140221297740936,0.41595882177352905,-0.22347858548164368,0.2857142984867096,0.45210132002830505,-0.0863637775182724
program_structure,p_part_exp,p_part_exp,ANOVA,43.55378723144531,6.069604214706117e-19,***,76.22167205810547,16.90729331970215,0.464028924703598,69.28044128417969,19.671062469482422,0.16619601845741272,60.422428131103516,24.940200805664062,-0.21388180553913116
targeting,p_targetfunc_hr_Selected,p_targetfunc_hr_Selected,ANOVA,42.45143595671416,1.6897435760247128e-18,***,0.6502463054187192,0.4780710399421116,0.20272541438386743,0.7380073800738007,0.4405321865116557,0.3790298067584279,0.4393241167434716,0.4966864087458731,-0.22099898118503694
targeting,p_targetfunc_hr_Not Selected,p_targetfunc_hr_Not Selected,ANOVA,42.45143595671416,1.6897435760247128e-18,***,0.3497536945812808,0.4780710399421116,-0.20272541438386743,0.26199261992619927,0.4405321865116557,-0.3790298067584279,0.5606758832565284,0.4966864087458731,0.22099898118503694
other,p_challenge_convmanager,Challenge - Convincing managers to allow their employees to participate in the p,ANOVA,41.88957214355469,2.8495414640892773e-18,***,0.5862069129943848,0.4937298893928528,0.5611720681190491,0.27306273579597473,0.4463571012020111,-0.10788127034902573,0.2626728117465973,0.44042453169822693,-0.13008002936840057
other,p_year_end_clone2,p_year_end_clone2,ANOVA,41.6324462890625,3.6199838972709146e-18,***,2022.6009521484375,0.6846253871917725,-0.0432509109377861,2022.3173828125,0.8792009949684143,-0.43880945444107056,2022.772705078125,0.6004527807235718,0.1963319033384323
other,p_cha_scale,p_cha_scale,ANOVA,40.454124450683594,1.085321761444595e-17,***,0.5714285969734192,0.49609506130218506,0.01944204419851303,0.339483380317688,0.4744100868701935,-0.4478225111961365,0.6513056755065918,0.47692346572875977,0.1803581714630127
funding,p_fund_union,Union,ANOVA,39.279232025146484,3.25052599277982e-17,***,15.566502571105957,11.004916191101074,0.36942258477211,13.966789245605469,12.408584594726562,0.24046023190021515,8.313364028930664,12.127405166625977,-0.21529574692249298
targeting,p_target_top,p_target_top,ANOVA,38.425846099853516,7.220534344102753e-17,***,0.8275862336158752,0.3786735534667969,0.5154963135719299,0.5793358087539673,0.4945790469646454,0.013923535123467445,0.4900153577327728,0.5002846717834473,-0.16654224693775177
other,p_mandavolunt_Mandatory,p_mandavolunt_Mandatory,ANOVA,37.31949708811993,2.0354719056293059e-16,***,0.6403940886699507,0.48107124929221895,0.5105995365788261,0.3948339483394834,0.48971937363894014,0.007625386146218487,0.3118279569892473,0.463596184910271,-0.1623935262229293
other,p_mandavolunt_Voluntary,p_mandavolunt_Voluntary,ANOVA,37.3194970881199,2.0354719056295662e-16,***,0.35960591133004927,0.48107124929221895,-0.5105995365788262,0.6051660516605166,0.48971937363894014,-0.007625386146218599,0.6881720430107527,0.463596184910271,0.16239352622292927
targeting,p_targetfunc_mrksal_Selected,p_targetfunc_mrksal_Selected,ANOVA,36.2459043591822,5.574822589420799e-16,***,0.30049261083743845,0.4596056787025428,-0.19955023672904318,0.22878228782287824,0.4208258994062067,-0.3459727153484521,0.49923195084485406,0.5003838772158561,0.20624777867192984
targeting,p_targetfunc_mrksal_Not Selected,p_targetfunc_mrksal_Not Selected,ANOVA,36.2459043591822,5.574822589420799e-16,***,0.6995073891625616,0.4596056787025428,0.19955023672904335,0.7712177121771218,0.4208258994062067,0.34597271534845214,0.500768049155146,0.5003838772158561,-0.20624777867192967
targeting,p_criteria_managerrec,Criteria - Manager's recommendation',ANOVA,34.908172607421875,1.961347352772932e-15,***,0.03448275849223137,0.18291670083999634,-0.2995622456073761,0.04428044334053993,0.20609809458255768,-0.27114832401275635,0.20890937745571136,0.40684211254119873,0.2062862664461136
other,p_year_end_2021,p_year_end_2021,ANOVA,34.25334368404865,3.634384675015148e-15,***,0.06896551724137931,0.2540219328511012,-0.008344566841505634,0.17712177121771217,0.3824780554419155,0.4122928628996519,0.027649769585253458,0.16409333248286306,-0.16902829305219663
other,p_cha_support,p_cha_support,ANOVA,34.12076950073242,4.118129346916428e-15,***,0.6650246381759644,0.4731486737728119,0.4855681359767914,0.3099631071090698,0.46333372592926025,-0.23238642513751984,0.3978494703769684,0.4898304045200348,-0.05467521771788597
funding,p_adequatefund_Overfunded,p_adequatefund_Overfunded,ANOVA,33.69459420878004,6.155117444462083e-15,***,0.20689655172413793,0.406082131060046,0.25314668609911556,0.22140221402214022,0.4159588083179657,0.2972073586279669,0.05683563748079877,0.23170631747707116,-0.20266047844285637
program_structure,p_duration_7 - 12 months,p_duration_7 - 12 months,ANOVA,33.39227973549386,8.186955502931868e-15,***,0.4876847290640394,0.5010840319176734,0.5046678141098937,0.21033210332103322,0.4082985024178643,-0.12357974769971855,0.21812596006144394,0.4132909455191528,-0.10592542955097493
other,p_participated_Fewer than 50,p_participated_Fewer than 50,ANOVA,31.118112270471755,7.032068889313997e-14,***,0.019704433497536946,0.1393262121644322,-0.29253123185421565,0.033210332103321034,0.17951691358538516,-0.24972422274026523,0.17357910906298002,0.37903837978166893,0.1951752756206108
program_structure,p_hourstrained_50 - 99 hours,p_hourstrained_50 - 99 hours,ANOVA,30.55129614595218,1.203435999495216e-13,***,0.12315270935960591,0.3294248082448823,-0.4026185375020859,0.45018450184501846,0.49843269457187184,0.30459287471094176,0.3087557603686636,0.46233536307266865,-0.0012490106509090715
targeting,p_targetemp_c_Not Selected,p_targetemp_c_Not Selected,ANOVA,30.451709638505154,1.3226429968145829e-13,***,0.6206896551724138,0.4864149689526091,-0.4218870797754476,0.7527675276752768,0.43220118923792866,-0.09661806003663614,0.8617511520737328,0.3454263891006769,0.171776607472111
targeting,p_targetemp_c_Selected,p_targetemp_c_Selected,ANOVA,30.451709638505164,1.3226429968145829e-13,***,0.3793103448275862,0.4864149689526091,0.42188707977544754,0.24723247232472326,0.43220118923792866,0.09661806003663614,0.1382488479262673,0.34542638910067686,-0.1717766074721109
program_structure,p_duration_2 - 6 months,p_duration_2 - 6 months,ANOVA,28.258644236316258,1.062968434158042e-12,***,0.37438423645320196,0.4851599615231371,-0.46231717241837605,0.6752767527675276,0.46913772061305087,0.15183258498577692,0.6405529953917051,0.4802073284957382,0.08095814972317159
program_structure,p_eligibility,p_eligibility,ANOVA,28.225671768188477,1.0968665212218731e-12,***,69.46797943115234,18.064315795898438,0.4071159064769745,62.74169921875,17.561735153198242,0.09290513396263123,57.207374572753906,22.91176986694336,-0.165624737739563
other,p_participated_500 - 999,p_participated_500 - 999,ANOVA,27.124953793963382,3.131236231086866e-12,***,0.3448275862068966,0.4764870883600601,0.42414759522123874,0.09225092250922509,0.2899152298662578,-0.23110347711595675,0.1674347158218126,0.37365063068104437,-0.03605671202993426
targeting,p_targetfunc_it_Selected,p_targetfunc_it_Selected,ANOVA,27.110872399430814,3.1735790691566012e-12,***,0.6847290640394089,0.4657723283685626,0.38444217688996285,0.3505535055350554,0.47802609945083985,-0.2836881158263726,0.4915514592933948,0.5003130297448615,-0.0017853802146167274
targeting,p_targetfunc_it_Not Selected,p_targetfunc_it_Not Selected,ANOVA,27.110872399430814,3.1735790691566012e-12,***,0.31527093596059114,0.4657723283685626,-0.38444217688996274,0.6494464944649446,0.47802609945083985,0.2836881158263726,0.5084485407066052,0.5003130297448614,0.0017853802146166164
other,p_challenge_effectiveness,Challenge - Monitoring the effectiveness of the program,ANOVA,25.641559600830078,1.2912474041393285e-11,***,0.32019704580307007,0.46770554780960083,-0.04455673322081566,0.17712177336215973,0.3824780583381653,-0.3461691737174988,0.41628265380859375,0.49332064390182495,0.15799829363822937
funding,p_fund_gov,Government,ANOVA,25.021907806396484,2.3361149820155802e-11,***,17.699506759643555,13.23000431060791,0.27824246883392334,16.72693634033203,14.076745986938477,0.21274326741695404,10.964670181274414,15.108845710754395,-0.17532509565353394
targeting,p_target_topmiddle,p_target_topmiddle,ANOVA,23.635236740112305,8.824442565558144e-11,***,0.517241358757019,0.5009379982948303,0.2090459167957306,0.24354243278503418,0.4300137758255005,-0.3463425040245056,0.4531489908695221,0.49818292260169983,0.07899001985788345
other,p_challenge_convincingemployees,Challenge - Convincing eligible employees to apply,ANOVA,23.506755828857422,9.982421833587551e-11,***,0.15763546526432037,0.3652997314929962,-0.27240633964538574,0.18819187581539154,0.3915884792804718,-0.2043820470571518,0.3563748002052307,0.4792960286140442,0.170024573802948
other,p_participated_50 - 99,p_participated_50 - 99,ANOVA,23.03353565842062,1.5724164586205672e-10,***,0.059113300492610835,0.23641966791423374,-0.3826628995313132,0.1918819188191882,0.3945092601898766,-0.0606509522330526,0.2764976958525346,0.447609745454064,0.14457292881722567
other,p_cost_$1_001 - $5_000,p_cost_$1_001 - $5_000,ANOVA,22.91302745064267,1.765406620814504e-10,***,0.5270935960591133,0.5004996771627077,0.24410777556188043,0.5166051660516605,0.5006487522788788,0.2227687666276567,0.3241167434715822,0.4684037823001337,-0.1688543996853404
targeting,p_targetemp_mm_Not Selected,p_targetemp_mm_Not Selected,ANOVA,21.999831975643446,4.247918377355698e-10,***,0.3399014778325123,0.47484649958288844,0.1677223307786923,0.3837638376383764,0.4872012318509363,0.2669712513622684,0.1935483870967742,0.39538278089000994,-0.16343600962711105
targeting,p_targetemp_mm_Selected,p_targetemp_mm_Selected,ANOVA,21.999831975643446,4.247918377355698e-10,***,0.6600985221674877,0.4748464995828884,-0.16772233077869245,0.6162361623616236,0.4872012318509363,-0.2669712513622684,0.8064516129032258,0.39538278089000994,0.1634360096271109
targeting,p_target_middle,p_target_middle,ANOVA,21.99983024597168,4.2479253448135523e-10,***,0.6600984930992126,0.4748465120792389,-0.1677224189043045,0.61623615026474,0.4872012138366699,-0.26697131991386414,0.8064516186714172,0.3953827917575836,0.16343599557876587
funding,p_fund_other,Other,ANOVA,21.964479446411133,4.394916652827874e-10,***,8.083744049072266,10.068964004516602,0.36710888147354126,5.354243755340576,8.507946968078613,0.07202661037445068,3.351766586303711,8.989262580871582,-0.14445824921131134
other,p_challenge_learning,Challenge - Ensuring that participants learned new skills,ANOVA,21.701398849487305,5.661416890845317e-10,***,0.3103448152542114,0.46377846598625183,-0.32367458939552307,0.40590405464172363,0.49197468161582947,-0.13234080374240875,0.5499231815338135,0.49788397550582886,0.15602192282676697
other,p_selection_Yes,p_selection_Yes,ANOVA,20.916707755406847,1.2057059641943768e-09,***,0.27586206896551724,0.44805257458664155,-0.39794355180394636,0.4907749077490775,0.5008398031357771,0.03224357355801609,0.5299539170506913,0.4994857334029619,0.11066748476494435
other,p_participated_2023_100 - 499,p_participated_2023_100 - 499,ANOVA,20.854385923196535,1.2803713847103702e-09,***,0.11822660098522167,0.3236744604051848,-0.390868644618198,0.3726937269372694,0.48441615709717945,0.16584212959059683,0.3210445468509985,0.4672368691131715,0.05284657102679344
other,p_year_end_2023,p_year_end_2023,ANOVA,20.672524946227583,1.5258024081578095e-09,***,0.3694581280788177,0.48385130066876414,0.2980742876742178,0.3062730627306273,0.46179735732749594,0.15056652081028746,0.17511520737327188,0.3803578605622039,-0.15562612524954553
program_structure,p_hourstrained_100 - 199 hours,p_hourstrained_100 - 199 hours,ANOVA,20.566528197957542,1.690052175789809e-09,***,0.4630541871921182,0.4998658552920334,0.40041983155334543,0.24723247232472326,0.43220118923792866,-0.07865596294189084,0.2411674347158218,0.4281206026156935,-0.09211898594174614
other,p_adv_hr,p_adv_hr,ANOVA,19.480682373046875,4.82197881623847e-09,***,0.3497537076473236,0.47807103395462036,-0.3316168189048767,0.6346863508224487,0.48240888118743896,0.23827101290225983,0.5176651477813721,0.5000720620155334,0.004219341557472944
program_design,p_advocacy_HR Leaders,p_advocacy_HR Leaders,ANOVA,19.480676426326138,4.822006698895924e-09,***,0.3497536945812808,0.4780710399421116,-0.33161683477541065,0.6346863468634686,0.48240887966876383,0.2382710043522956,0.5176651305683564,0.5000720732646197,0.0042193168662615676
program_design,p_advocacy_hier_HR,p_advocacy_hier_HR,ANOVA,19.480676426326138,4.822006698895924e-09,***,0.3497536945812808,0.4780710399421116,-0.33161683477541065,0.6346863468634686,0.48240887966876383,0.2382710043522956,0.5176651305683564,0.5000720732646197,0.0042193168662615676
other,p_cost_less $500,p_cost_less $500,ANOVA,19.404564271792637,5.190099434781791e-09,***,0.054187192118226604,0.2269463766067836,-0.29380284267958434,0.11070110701107011,0.3143421513413069,-0.14074210086104566,0.21812596006144394,0.4132909455191528,0.15020443379001389
other,p_challenge_selecting,Challenge - Selecting the right participants,ANOVA,19.34699249267578,5.487114762559031e-09,***,0.3103448152542114,0.46377846598625183,-0.1016063317656517,0.22509224712848663,0.41841575503349304,-0.2792331576347351,0.4301075339317322,0.49547162652015686,0.14792366325855255
other,p_cost_$5_001 - $10_000,p_cost_$5_001 - $10_000,ANOVA,18.599058581396232,1.1312055131550346e-08,***,0.22167487684729065,0.416400360360407,0.3809731922268953,0.07380073800738007,0.2619300531443348,-0.1014141532627907,0.08141321044546851,0.27367892430698976,-0.07658114053432179
other,p_application_Anyone could apply regardless of their function/department ,p_application_Anyone could apply regardless of their function/department ,ANOVA,17.803976641534085,2.4433751698636513e-08,***,0.10344827586206896,0.30529636799570525,-0.339533899782585,0.22878228782287824,0.4208258994062067,-0.05047255612930474,0.30568356374807987,0.4610505909402536,0.12688701131629246
other,p_participated_10000 - 49999,p_participated_10000 - 49999,ANOVA,17.763582673369598,2.5409376541665093e-08,***,0.06896551724137931,0.2540219328511012,0.37146961312059806,0.0036900369003690036,0.060745673923078704,-0.11060616299518311,0.009216589861751152,0.0956331167361012,-0.06979118478001044
other,p_difloc_Yes,p_difloc_Yes,ANOVA,17.615148221870133,2.934186605951751e-08,***,0.7733990147783252,0.4196672106822224,0.21588331153941237,0.7638376383763837,0.4255088842528506,0.19552668770989629,0.6021505376344086,0.4898304090307674,-0.148712818144213
other,p_difloc_No,p_difloc_No,ANOVA,17.615148221870125,2.9341866059519284e-08,***,0.22660098522167488,0.4196672106822224,-0.21588331153941237,0.23616236162361623,0.4255088842528506,-0.19552668770989645,0.3978494623655914,0.4898304090307674,0.1487128181442129
other,p_challenge_determreturn,Challenge - Determining financial returns of programs relative to other policies,ANOVA,16.8867244720459,5.948404790956374e-08,***,0.2068965584039688,0.4060821235179901,-0.0005292018176987767,0.08856088668107986,0.284634530544281,-0.29241618514060974,0.25652840733528137,0.4370526373386383,0.12189280241727829
other,p_resp_hr,p_resp_hr,ANOVA,16.855037689208984,6.134231256282874e-08,***,0.3448275923728943,0.47648710012435913,-0.3631277084350586,0.5571955442428589,0.4976368844509125,0.06200442090630531,0.5698924660682678,0.49547162652015686,0.0874219536781311
program_design,p_responsibility_HR Leaders,p_responsibility_HR Leaders,ANOVA,16.855035212907996,6.134246072393792e-08,***,0.3448275862068966,0.4764870883600601,-0.3631277171773234,0.5571955719557196,0.49763689214603474,0.0620044893781174,0.5698924731182796,0.49547163618751766,0.0874219815138661
program_design,p_responsibility_hier_HR,p_responsibility_hier_HR,ANOVA,16.855035212907996,6.134246072393792e-08,***,0.3448275862068966,0.4764870883600601,-0.3631277171773234,0.5571955719557196,0.49763689214603474,0.0620044893781174,0.5698924731182796,0.49547163618751766,0.0874219815138661
targeting,p_targetemp_bul_Not Selected,p_targetemp_bul_Not Selected,ANOVA,16.67032678710106,7.339249915610419e-08,***,0.31527093596059114,0.4657723283685626,-0.3613090063796506,0.5276752767527675,0.5001571435442556,0.06332441785814441,0.5391705069124424,0.4988465959263239,0.08630539332643919
targeting,p_targetemp_bul_Selected,p_targetemp_bul_Selected,ANOVA,16.67032678710106,7.339249915610419e-08,***,0.6847290640394089,0.4657723283685626,0.3613090063796507,0.47232472324723246,0.5001571435442556,-0.06332441785814452,0.4608294930875576,0.4988465959263239,-0.08630539332643919
program_design,p_responsibility_C-Suite Leaders_ excluding HR,p_responsibility_C-Suite Leaders_ excluding HR,ANOVA,15.984804403697764,1.428730889902636e-07,***,0.2857142857142857,0.4528707738033059,0.2378243941205394,0.25461254612546125,0.4364492008001032,0.15889563403418452,0.13671274961597543,0.3438080083288395,-0.14030578929298543
funding,p_adequatefunddummy_Adequately funded,p_adequatefunddummy_Adequately funded,ANOVA,15.520595438352785,2.244127330868847e-07,***,0.7635467980295566,0.42595406195752195,-0.1639948321367868,0.7453874538745388,0.4364492008001032,-0.21184943138084605,0.8786482334869432,0.3267867110692998,0.13932741448229938
funding,p_adequatefund_Adequate funding,p_adequatefund_Adequate funding,ANOVA,15.520595438352785,2.244127330868847e-07,***,0.7635467980295566,0.42595406195752195,-0.1639948321367868,0.7453874538745388,0.4364492008001032,-0.21184943138084605,0.8786482334869432,0.3267867110692998,0.13932741448229938
funding,p_adequatefunddummy_Not adequately funded,p_adequatefunddummy_Not adequately funded,ANOVA,15.520595438352785,2.244127330868847e-07,***,0.23645320197044334,0.425954061957522,0.16399483213678653,0.25461254612546125,0.4364492008001032,0.21184943138084592,0.12135176651305683,0.3267867110692998,-0.13932741448229943
other,p_challenge_progcompl,Challenge - Ensuring program completion,ANOVA,15.211671829223633,3.031338735581812e-07,***,0.4482758641242981,0.49854689836502075,0.20545481145381927,0.4354243576526642,0.4967297613620758,0.17852665483951569,0.2841781973838806,0.45136892795562744,-0.13838410377502441
other,p_cost_$501 - $1_000,p_cost_$501 - $1_000,ANOVA,13.807256487475032,1.1917559655432223e-06,***,0.16748768472906403,0.3743338553265292,-0.30674345360527233,0.2952029520295203,0.45697784952250825,-0.030557172564266658,0.35944700460829493,0.4802073284957382,0.10837160498738327
other,p_resp_top,p_resp_top,ANOVA,13.693045616149902,1.33229946186475e-06,***,0.3448275923728943,0.47648710012435913,0.2501385807991028,0.2878228724002838,0.45358577370643616,0.11638283729553223,0.18433180451393127,0.38805270195007324,-0.1264483630657196
program_design,p_responsibility_hier_Top Management,p_responsibility_hier_Top Management,ANOVA,13.69304235521592,1.3323036730778498e-06,***,0.3448275862068966,0.4764870883600601,0.25013857199042877,0.2878228782287823,0.4535857773349755,0.11638286104490068,0.18433179723502305,0.3880527012816632,-0.12644836475764226
other,p_year_end_2022,p_year_end_2022,ANOVA,13.63338075104709,1.412205429593684e-06,***,0.21674876847290642,0.4130486401678566,0.1492112059526105,0.23616236162361623,0.4255088842528506,0.20190673880112892,0.11367127496159754,0.31765565694472897,-0.13057849619583078
funding,p_challenge_funding,Challenge - Finding adequate resources to fund the program,ANOVA,13.109131813049316,2.356546474402421e-06,***,0.03940886631608009,0.19504669308662415,-0.11775114387273788,0.014760147780179977,0.12081450968980789,-0.214742511510849,0.10138248652219772,0.3020666241645813,0.126111701130867
other,p_participated_2023_50 - 99,p_participated_2023_50 - 99,ANOVA,12.749871031552479,3.348004602928346e-06,***,0.034482758620689655,0.18291669761292892,-0.28886679578212604,0.11808118081180811,0.3233012711137797,-0.04235400715743386,0.16897081413210446,0.37501427756506,0.10770798077332744
other,p_participated_2023_500 - 999,p_participated_2023_500 - 999,ANOVA,12.657990198304255,3.662737354110314e-06,***,0.2019704433497537,0.40246278853054557,-0.08506108755067605,0.3505535055350554,0.4780260994508398,0.2635738554559394,0.20276497695852536,0.4023680348243664,-0.08319679578459649
targeting,p_criteria_jobtitle,Criteria - Job Title,ANOVA,11.297220230102539,1.3881202903576195e-05,***,0.8620689511299133,0.3456800580024719,0.21184967458248138,0.6826568245887756,0.46630337834358215,-0.21648329496383667,0.7834101319313049,0.4122374951839447,0.024057652801275253
other,p_challenge_supportoutsideHR,Challenge - Getting the support of other corporate managers outside HR,ANOVA,11.051777839660645,1.7657923308433965e-05,***,0.15270936489105225,0.3605963885784149,0.07972115278244019,0.04428044334053993,0.20609809458255768,-0.24662885069847107,0.1520737260580063,0.3593684732913971,0.07780800759792328
targeting,p_targetfunc_accfin_Selected,p_targetfunc_accfin_Selected,ANOVA,10.690075720742517,2.5179016438981162e-05,***,0.270935960591133,0.4455418448166371,-0.08859251816629242,0.2177121771217712,0.4134542007410589,-0.20341875230608544,0.3640552995391705,0.4815342371552005,0.11230531960477186
targeting,p_targetfunc_accfin_Not Selected,p_targetfunc_accfin_Not Selected,ANOVA,10.690075720742515,2.5179016438981162e-05,***,0.729064039408867,0.4455418448166371,0.08859251816629253,0.7822878228782287,0.4134542007410588,0.20341875230608544,0.6359447004608295,0.4815342371552005,-0.11230531960477173
program_design,p_advocacy_Business Unit/Subsidiary/Function Leaders,p_advocacy_Business Unit/Subsidiary/Function Leaders,ANOVA,10.6446111114339,2.6327847094949816e-05,***,0.15763546798029557,0.36529972113395764,0.28134388330624877,0.04797047970479705,0.214099178850793,-0.12067499531263771,0.0706605222734255,0.2564539724047736,-0.03749598245997492
targeting,p_criteria_assmsmotivation,Criteria - Pre-assessment of motivation,ANOVA,10.566362380981445,2.8429409212549217e-05,***,0.11330049484968185,0.31774336099624634,-0.20540790259838104,0.14760147035121918,0.355360746383667,-0.11881551146507263,0.23963133990764618,0.4271866977214813,0.11351275444030762
